idfiltro,Codusu,verfiltro,orden
3166,0,0,61
3167,0,0,29
3168,0,0,37
3170,0,1,0
3171,0,1,1
3172,0,1,2
3173,0,1,3
3174,0,1,4
3175,0,1,5
3176,0,1,6
3177,0,1,7
3178,0,1,8
3183,0,0,28
3184,0,0,29
3185,0,0,28
3186,0,0,29
3199,0,0,23
3200,0,0,24
3332,0,0,27
3333,0,0,26
3334,0,0,25
3342,0,0,16
3343,0,0,20
3344,0,0,56
3345,0,0,45
3346,0,0,29
3347,0,0,28
3348,0,0,27
3352,0,0,30
3353,0,0,42
3354,0,0,41
3355,0,0,16
3356,0,0,24
3357,0,0,26
3358,0,0,23
3362,0,0,36
3363,0,0,34
3367,0,0,38
3368,0,0,57
3371,0,0,25
3383,0,1,9
3385,0,0,21
3386,0,1,1
3387,0,1,0
3388,0,1,6
3389,0,0,14
3390,0,0,16
3391,0,0,15
3392,0,1,10
3393,0,1,3
3394,0,1,7
3395,0,1,5
3396,0,0,22
3397,0,0,17
3399,0,0,11
3400,0,1,8
3401,0,0,19
3402,0,0,26
3403,0,1,2
3404,0,1,4
3405,0,0,19
3469,0,0,37
3517,0,1,2
3518,0,0,29
3520,0,0,35
3523,0,0,7
3525,0,0,56
3526,0,1,0
3527,0,1,1
3528,0,0,24
3531,0,1,1
3532,0,1,0
3533,0,0,22
3534,0,0,45
3535,0,1,5
3536,0,0,54
3538,0,0,30
3539,0,0,31
3541,0,1,4
3542,0,1,3
3544,0,0,39
3546,0,0,35
3547,0,0,33
3548,0,0,9
3551,0,0,32
3552,0,0,10
3553,0,0,12
3554,0,0,13
3555,0,0,11
3556,0,0,17
3557,0,0,38
3558,0,0,39
3559,0,0,19
3560,0,0,40
3561,0,0,42
3562,0,0,43
3563,0,0,41
3564,0,0,44
3565,0,0,43
3566,0,0,37
3568,0,0,45
3569,0,0,16
3570,0,0,17
3571,0,0,15
3572,0,0,19
3573,0,0,20
3574,0,0,21
3575,0,0,22
3576,0,0,23
3577,0,0,36
3578,0,0,34
3579,0,0,25
3580,0,0,48
3581,0,0,7
3582,0,0,8
3583,0,0,9
3584,0,0,10
3585,0,0,11
3586,0,0,12
3587,0,0,27
3588,0,0,29
3589,0,0,47
3590,0,0,44
3591,0,0,18
3592,0,0,20
3593,0,0,21
3594,0,0,20
3595,0,0,21
3596,0,0,22
3597,0,0,40
3598,0,0,42
3599,0,0,41
3600,0,0,23
3601,0,0,24
3602,0,0,26
3603,0,0,28
3604,0,0,30
3605,0,0,31
3606,0,0,32
3607,0,0,33
3608,0,0,34
3609,0,0,35
3610,0,0,36
3611,0,0,49
3612,0,0,38
3613,0,0,39
3614,0,0,40
3615,0,0,41
3616,0,0,42
3617,0,0,43
3618,0,0,44
