NumCta,Descripcion,Descripcion2,tipoPGC
5954000000,Deterioro de valor de créditos a corto plazo a empresas asociadas,Deterioro de valor de cr?ditos a corto plazo a entidades asociadas,0
5955000000,Deterioro de valor de créditos a corto plazo a otras partes vinculadas,,
596,Deterioro de valor de participaciones a corto plazo,,2
5960000000,Deterioro de valor de participaciones a corto plazo,,2
597,Deterioro de valor de valores representativos de deuda a corto plazo,,
5970000000,Deterioro de valor de valores representativos de deuda a corto plazo,,2
598,Deterioro de valor de créditos a corto plazo,,
5980000000,Deterioro de valor de cr?ditos a corto plazo,,2
599,Deterioro de valor de activos no corrientes mantenidos para la venta,,1
5990000000,Deterioro de valor de inmovilizado no corriente mantenido para la venta,,1
5991000000,Deterioro de valor de inversiones con personas y entidades vinculadas no corrientes mantenidas para la venta,,1
5992000000,Deterioro de valor de inversiones financieras no corrientes mantenidas para la venta,,1
5993000000,"Deterioro de valor de existencias, deudores comerciales y otras cuentas a cobrar integrados en un grupo enajenable mantenido para la venta",,1
5994000000,Deterioro de valor de otros activos mantenidos para la venta,,1
600,Compras de mercaderías,Compras de bienes destinados a la actividad,0
6000000000,Compras de bienes destinados a la actividad,,2
601,Compras de materias primas,,
6010000000,Compras de materias primas,,2
602,Compras  de otros aprovisionamientos,,
6020000000,Compras  de otros aprovisionamientos,,2
606,Descuentos sobre compras por pronto pago,,
6060000000,Descuentos sobre compras por pronto pago de mercaderías,Descuentos sobre compras por pronto pago de bienes destinados a la actividad,0
6061000000,Descuentos sobre compras por pronto pago de materias primas,,
6062000000,Descuentos sobre compras por pronto pago de otros aprovisionamientos,,
607,Trabajos realizados por otras empresas,Trabajos realizados por otras entidades,0
6070000000,Trabajos realizados por otras entidades,,2
608,Devoluciones de compras y operaciones similares,,
6080000000,Devoluciones de compras de mercaderías,Devoluciones de compras de bienes destinados a la actividad,0
6081000000,Devoluciones de compras de materias primas,,
6082000000,Devoluciones de compras de otros aprovisionamientos,,
609,Rappels por compras,"""Rappels""  por  compras",0
6090000000,Rappels por compras de mercaderías,"""Rappels"" por compras de bienes destinados a la actividad",0
6091000000,Rappels por compras de materias primas,"""Rappels"" por compras de materias primas",0
6092000000,Rappels por compras de otros aprovisionamientos,"""Rappels"" por compras de otros aprovisionamientos",0
610,Variación de existencias de mercaderías,Variaci?n de existencias de bienes destinados a la actividad,0
6100000000,Variaci?n de existencias de bienes destinados a la actividad,,2
611,Variación de existencias de materias primas,,
6110000000,Variaci?n de existencias de materias primas,,2
612,Variación de existencias de otros aprovisionamientos,,
6120000000,Variaci?n de existencias de otros aprovisionamientos,,2
620,Gastos en investigación y desarrollo del ejercicio,,
6200000000,Gastos en investigaci?n y desarrollo del ejercicio,,2
621,Arrendamientos y cánones,,
6210000000,Arrendamientos y c?nones,,2
622,Reparaciones y conservación,,
6220000000,Reparaciones y conservaci?n,,2
623,Servicios de profesionales independientes,,
6230000000,Servicios de profesionales independientes,,2
624,Transportes,,
6240000000,Transportes,,2
625,Primas de seguros,,
6250000000,Primas de seguros,,2
626,Servicios bancarios y similares,,
6260000000,Servicios bancarios y similares,,2
627,"Publicidad, propaganda y relaciones públicas",,
6270000000,"Publicidad, propaganda y relaciones p?blicas",,2
628,Suministros,,
6280000000,Suministros,,2
629,Otros servicios,,
6290000000,Otros servicios,,2
630,Impuesto sobre beneficios,,
6300000000,Impuesto corriente,,
6301000000,Impuesto diferido,,
631,Otros tributos,,
6310000000,Otros tributos,,2
633,Ajustes negativos en la imposición sobre beneficios,,
6330000000,Ajustes negativos en la imposici?n sobre beneficios,,2
634,Ajustes negativos en la imposición indirecta,,
6341000000,Ajustes negativos en IVA de activo corriente,,
6342000000,Ajustes negativos en IVA de inversiones,,
636,Devolución de impuestos,,
6360000000,Devoluci?n de impuestos,,2
638,Ajustes positivos en la imposición sobre beneficios,,
6380000000,Ajustes positivos en la imposici?n sobre beneficios,,2
639,Ajustes positivos en la imposición indirecta,,
6391000000,Ajustes positivos en IVA de activo corriente,,
6392000000,Ajustes positivos en IVA de inversiones,,
640,Sueldos y salarios,,
6400000000,Sueldos y salarios,,2
641,Indemnizaciones,,
