id,codope,aplicacion,equipo,tipo,fecha,versionSO
295,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 09:23:21.010000,
296,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 09:24:28.357000,
297,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 11:35:23.430000,
298,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 14:53:31.393000,
299,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 18:22:55.937000,
300,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 18:48:39.533000,
301,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 19:25:05.040000,
302,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 19:25:40.650000,
303,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 19:36:35.883000,
304,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 19:37:49.977000,
305,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 19:39:50.370000,
306,1,MNprogram,DESKTOP-D72E0H9,1,2024-08-29 20:12:18.907000,
307,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 20:19:08.797000,
308,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 21:41:51.097000,
309,1,AppAngular,MNCLOUDIIS02,0,2024-08-29 23:03:57.767000,
310,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 00:40:09.543000,
311,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 00:40:33.187000,
312,1,MNprogram,DESKTOP-D72E0H9,0,2024-08-30 08:56:45.003000,
313,1,GestorConsultas:37,DESKTOP-D72E0H9,0,2024-08-30 08:56:52.150000,
314,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 09:15:34.523000,
315,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 09:38:26.623000,
316,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 09:42:44.813000,
317,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 10:01:54.767000,
318,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 10:04:09,
319,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 11:02:16.010000,
320,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 11:15:45.690000,
321,1,AppAngular,MNCLOUDIIS02,0,2024-08-30 13:08:44.677000,
