id,nombre,texto,accion,campoVisualizacion,usarEtiquetasIni,idPadre,esConfiguracion,icono,orden,campoPermiso,tipoAcceso
219,Ventas,Ventas,AbrirDelphi|49,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,218,0,,246,IrpfVentaPer,
220,Nóminas,Nóminas,AbrirDelphi|50,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,218,0,,247,IrpfNominaPer,
221,Alquileres,Alquileres,AbrirDelphi|51,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,218,0,,248,IrpfAlquilerPer,
222,Profesionales,Profesionales,AbrirDelphi|52,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,218,0,,249,IrpfProfesPer,
223,IRPF - Nóminas - Rendimientos en Especie,IRPF - Nóminas - Rendimientos en Especie,AbrirDelphi|53,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,218,0,,250,IrpfNominaPer,
224,Diario,Diario,AbrirModulo|58,DELPHI,0,82,0,,10,LibroDiario,
225,Listado del Diario,Listado del Diario,AbrirDelphi|55,DELPHI,0,82,0,,20,ListDiarioPer,
226,Balance de Situación,Balance de Situación,AbrirTipoFichero|1141,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,84,0,,10,ListBalanceSitPer,
227,Balance Sumas y Saldos,Balance Sumas y Saldos,AbrirTipoFichero|1142,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,84,0,,20,ListBalanceSumPer,
228,Resumen Sumas y Saldos Anual ,Resumen Sumas y Saldos Anual ,AbrirTipoFichero|1143,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,84,0,,30,ListBalanceSumPer,
229,Pérdidas y Ganancias,Pérdidas y Ganancias,AbrirTipoFichero|1144,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,84,0,,40,ListPerdGanPer,
230,Estado de Cambios En el Patrimonio Neto,Estado de Cambios En el Patrimonio Neto,AbrirTipoFichero|1145,!configuracionCom:general|bPGCSinFinesLucrativos,0,84,0,,50,ListPerdGanPer,
232,Modelo 111,Modelo 111,AbrirTipoFichero|1153,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,10,permisoAccion:VerModelosAEATConta,
233,Modelo 115,Modelo 115,AbrirTipoFichero|1152,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,20,permisoAccion:VerModelosAEATConta,
234,Modelo 130,Modelo 130,AbrirTipoFichero|1154,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,30,permisoAccion:VerModelosAEATConta,
235,Modelo 180,Modelo 180,AbrirTipoFichero|1155,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,40,permisoAccion:VerModelosAEATConta,
236,Modelo 303,Modelo 303,AbrirTipoFichero|1149,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,60,permisoAccion:VerModelosAEATConta,
237,Modelo 347,Modelo 347,AbrirTipoFichero|1156,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC,0,85,0,,70,permisoAccion:VerModelosAEATConta,
238,Modelo 696,Modelo 696,AbrirTipoFichero|1123,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]bverContPGC[AND]bVerModelo696,0,85,0,,100,permisoAccion:VerModelosAEATConta,
239,Modelos,Modelos,,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]!bOcultarModelosAEAT,0,434,0,,342,,
240,Modelo 111,Modelo 111,AbrirDelphi|69,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,251,IrpfNominaPer[AND]IrpfProfesPer,
241,Modelo 115,Modelo 115,AbrirDelphi|70,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,252,IrpfAlquilerPer,
242,Modelo 130,Modelo 130,AbrirDelphi|71,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,253,LibroIngresoPer[AND]LibroGastoPer,
243,Modelo 180,Modelo 180,AbrirDelphi|72,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,254,IrpfAlquilerPer,
244,Modelo 233,Modelo 233,AbrirDelphi|73,bVerContabilidad[AND]True[AND]!bvermenulibregistro[AND]v=CRMguarderías,0,239,0,,258,,
245,Modelo 303,Modelo 303,AbrirTipoFichero|1150,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,255,LibroIvaPer,
246,Modelo 347,Modelo 347,AbrirDelphi|75,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,256,Mod347Per,
247,Modelo 696,Modelo 696,AbrirDelphi|76,bVerContabilidad[AND]True[AND]!bvermenulibregistro,0,239,0,,257,LibroIngresoPer,
248,Chequeo Asientos Descuadrados,Chequeo Asientos Descuadrados,AbrirTipoFichero|1157,False,0,86,0,,70,CuentaPer[AND]LibroDiario,
249,Chequeo Asientos con descuadres inferior a 1 euro,Chequeo Asientos con descuadres inferior a 1 euro,AbrirTipoFichero|1158,False,0,86,0,,190,CuentaPer[AND]LibroDiario,
250,Chequeo Cuentas no Existen en Balances,Chequeo Cuentas no Existen en Balances,AbrirTipoFichero|1159,False,0,86,0,,80,CuentaPer[AND]LibroDiario,
251,Chequeo Cuentas Erróneas,Chequeo de Asientos con Cuentas que no existen en el PGC,AbrirTipoFichero|1160,False,0,86,0,,90,CuentaPer[AND]LibroDiario,
