id,id_linedcto,id_tabla,id_field,indice,numero,itabla,seccion
12787,153,4,279,29,,,
12788,153,4,281,30,,,
12789,153,4,282,31,,,
12790,153,4,283,32,,,
12791,153,1,1,33,,,
12820,155,1,1,1,,,
12821,155,1,2,2,,,
12822,155,1,3,3,,,
12823,155,1,4,4,,,
12824,155,1,5,5,,,
12825,155,1,6,6,,,
12826,155,1,7,7,,,
12827,155,4,34,8,,,
12828,155,1,274,9,,,
12829,155,4,73,10,,,
12830,155,4,74,11,,,
12831,155,4,77,12,,,
12832,155,4,79,13,,,
12833,155,37,91,14,,,
12834,155,58,270,15,,2,
12835,155,58,271,16,,2,
12836,155,58,272,17,,2,
12837,155,58,273,18,,2,
12838,155,4,275,19,,,
12839,155,1,1,20,,,
12840,154,1,1,1,,,
12841,154,1,2,2,,,
12842,154,1,3,3,,,
12843,154,1,4,4,,,
12844,154,1,5,5,,,
12845,154,1,6,6,,,
12846,154,1,7,7,,,
12847,154,1,8,8,,,
12848,154,1,4,9,,,
12849,154,1,274,10,,,
12850,154,4,34,11,,,
12851,154,4,72,12,,,
12852,154,4,73,13,,,
12853,154,4,74,14,,,
12854,154,4,75,15,,,
12855,154,4,76,16,,,
12856,154,4,77,17,,,
12857,154,4,20,18,,,
12858,154,4,79,19,,,
12859,154,4,78,20,,,
12860,154,4,17,21,,,
12861,154,4,18,22,,,
12862,154,60,270,23,,2,
12863,154,60,271,24,,2,
12864,154,60,272,25,,2,
12865,154,60,273,26,,2,
12866,154,4,285,27,,,
12867,154,1,1,28,,,
12911,151,1,1,1,,,
12912,151,1,2,2,,,
12913,151,1,3,3,,,
12914,151,1,4,4,,,
12915,151,1,5,5,,,
12916,151,1,6,6,,,
12917,151,1,7,7,,,
12918,151,1,8,8,,,
12919,151,1,4,9,,,
12920,151,1,274,10,,,
12921,151,4,34,11,,,
12922,151,4,72,12,,,
12923,151,4,73,13,,,
12924,151,4,74,14,,,
12925,151,4,75,15,,,
12926,151,4,76,16,,,
12927,151,4,77,17,,,
12928,151,4,20,18,,,
12929,151,4,79,19,,,
12930,151,4,78,20,,,
12931,151,4,17,21,,,
12932,151,4,18,22,,,
12933,151,35,107,23,,2,
12934,151,35,108,24,,2,
12935,151,1,1,25,,,
12936,143,1,1,1,,,
12937,143,1,2,2,,,
12938,143,1,3,3,,,
12939,143,1,4,4,,,
12940,143,1,5,5,,,
12941,143,1,6,6,,,
12942,143,1,7,7,,,
12943,143,1,8,8,,,
12944,143,1,4,9,,,
12945,143,1,274,10,,,
12946,143,4,34,11,,,
12947,143,4,72,12,,,
12948,143,4,73,13,,,
12949,143,4,74,14,,,
12950,143,4,75,15,,,
12951,143,4,76,16,,,
12952,143,4,77,17,,,
12953,143,4,20,18,,,
12954,143,4,79,19,,,
12955,143,4,78,20,,,
12956,143,4,17,21,,,
12957,143,4,18,22,,,
12958,143,4,80,23,,,
12959,143,37,91,24,,,
12960,143,4,81,25,,,
12961,143,4,138,26,,,
12962,143,4,139,27,,,
12963,143,4,140,28,,,
12964,143,4,295,29,,,
12965,143,4,141,30,,,
12966,143,4,142,31,,,
12967,143,4,143,32,,,
12968,143,4,296,33,,,
12969,143,4,144,34,,,
12970,143,4,145,35,,,
12971,143,4,146,36,,,
12972,143,4,297,37,,,
12973,143,4,147,38,,,
12974,143,4,148,39,,,
12975,143,4,149,40,,,
12976,143,4,298,41,,,
12977,143,4,150,42,,,
12978,143,4,151,43,,,
12979,143,4,152,44,,,
12980,143,4,299,45,,,
12981,143,4,153,46,,,
12982,143,4,154,47,,,
12983,143,4,155,48,,,
12984,143,4,300,49,,,
12985,143,4,301,50,,,
12986,143,1,1,51,,,
13013,157,1,1,1,,,
13014,157,1,2,2,,,
13015,157,1,3,3,,,
13016,157,1,4,4,,,
13017,157,1,5,5,,,
13018,157,1,6,6,,,
13019,157,1,7,7,,,
13020,157,1,8,8,,,
13021,157,1,4,9,,,
13022,157,1,274,10,,,
13023,157,4,34,11,,,
13024,157,4,72,12,,,
13025,157,4,73,13,,,
13026,157,4,74,14,,,
13027,157,4,75,15,,,
13028,157,4,76,16,,,
13029,157,4,77,17,,,
13030,157,4,20,18,,,
13031,157,4,79,19,,,
13032,157,4,78,20,,,
13033,157,4,17,21,,,
13034,157,4,18,22,,,
13035,157,1,1,23,,,
13062,158,1,1,1,,,
13063,158,1,2,2,,,
13064,158,1,3,3,,,
13065,158,1,4,4,,,
13066,158,1,5,5,,,
13067,158,1,6,6,,,
13068,158,1,7,7,,,
13069,158,1,8,8,,,
13070,158,1,9,9,,,
13071,158,1,4,10,,,
13072,158,24,101,11,,,
13073,158,24,102,12,,,
13074,158,4,34,13,1,,
13075,158,4,77,14,1,,
13076,158,37,91,15,,,
13077,158,24,286,16,,,
13078,158,24,100,17,,,
13079,158,24,103,18,,,
13080,158,24,71,19,,,
13081,158,25,104,20,,,
13082,158,26,105,21,1,,
13083,158,24,106,22,,,
13084,158,22,96,23,1,,
13085,158,22,7,24,1,,
13086,158,23,98,25,1,,
13087,158,23,99,26,1,,
13178,110,1,1,1,,,
13179,110,1,2,2,,,
13180,110,1,3,3,,,
13181,110,1,4,4,,,
